mode,epoch,n_valid,min,max,mean,median
0,0,1,0,32,13.425531914893616,10.0
0,0,2,0,64,25.93052899936265,26.0
0,0,3,0,93,33.92379908294398,32.0
0,0,4,0,119,40.72077486004067,39.0
0,0,5,0,145,50.134046726151986,48.0
0,0,6,0,166,57.36985188251942,55.0
0,0,7,0,187,63.518261456207945,61.0
0,0,8,0,203,71.3549669788209,68.0
0,0,9,0,223,78.83288332178803,75.0
0,0,10,0,238,86.54199528069356,82.0
0,0,11,0,253,95.58285165286168,91.0
0,0,12,0,264,103.42338723804174,99.0
0,0,13,0,271,111.4116168512512,109.0
0,0,14,2,274,122.01716569223804,122.0
1,0,1,nan,nan,nan,nan
1,0,2,0,29,9.5,2.0
1,0,3,0,54,16.755905511811022,16.0
1,0,4,0,68,24.946875,24.0
1,0,5,0,107,31.73093220338983,30.0
1,0,6,0,90,38.239495798319325,38.0
1,0,7,2,113,45.04652730950775,44.0
1,0,8,0,135,48.92964580300825,48.0
1,0,9,0,152,53.402432575356954,51.0
1,0,10,4,164,59.60128440366972,57.0
1,0,11,2,175,67.35478637101136,64.0
1,0,12,5,193,75.04753473168074,71.0
1,0,13,5,217,82.848,79.0
1,0,14,22,202,93.28356164383561,90.0
0,1,1,0,17,3.127659574468085,1.0
0,1,2,0,59,12.630975143403441,11.0
0,1,3,0,69,12.685921362880983,11.0
0,1,4,0,88,18.98123415258705,17.0
0,1,5,0,106,25.61166429587482,24.0
0,1,6,0,124,33.282509737524535,32.0
0,1,7,0,151,38.99746788818964,38.0
0,1,8,0,168,41.99017990849303,41.0
0,1,9,0,197,46.75090479941139,45.0
0,1,10,0,199,52.48230814581197,51.0
0,1,11,0,218,58.69140466443185,57.0
0,1,12,0,226,64.78334186021293,63.0
0,1,13,0,235,70.53888932070652,68.0
0,1,14,0,234,77.6156954720706,75.0
1,1,1,nan,nan,nan,nan
1,1,2,7,35,14.6,13.0
1,1,3,0,34,12.68503937007874,11.0
1,1,4,0,57,17.9375,17.0
1,1,5,0,77,26.345338983050848,26.0
1,1,6,2,73,33.10294117647059,33.0
1,1,7,0,103,39.43155765340526,39.0
1,1,8,2,115,41.879670063076176,41.0
1,1,9,0,120,47.03490216816499,46.0
1,1,10,7,145,52.92880733944954,52.0
1,1,11,2,148,59.272985397512166,58.0
