mode,epoch,n_valid,min,max,mean,median
0,0,1,0,30,12.625,11.0
0,0,2,0,64,25.64089870525514,25.0
0,0,3,0,93,33.56503792463839,32.0
0,0,4,0,120,40.39792767854906,39.0
0,0,5,0,145,49.729717278030485,48.0
0,0,6,0,168,57.1162621858418,55.0
0,0,7,0,186,63.23366728373519,60.0
0,0,8,0,206,70.9649023496687,68.0
0,0,9,0,223,78.41319616219506,74.0
0,0,10,0,238,86.09664605611806,82.0
0,0,11,0,253,95.13662865190227,90.0
0,0,12,0,264,102.95117686020455,99.0
0,0,13,0,272,110.9402758291206,108.0
0,0,14,1,275,121.53998358482228,121.0
1,0,1,nan,nan,nan,nan
1,0,2,0,57,17.526905829596412,15.0
1,0,3,0,72,16.355450236966824,15.0
1,0,4,0,88,23.40168905950096,22.0
1,0,5,0,101,29.83891555461786,28.0
1,0,6,0,111,36.720573776690955,36.0
1,0,7,0,153,42.65767112742776,42.0
1,0,8,0,169,45.97581084912862,44.0
1,0,9,0,174,51.14826532189964,49.0
1,0,10,0,197,58.011749638254706,55.0
1,0,11,0,205,66.43233730981173,63.0
1,0,12,0,220,74.7120974027128,71.0
1,0,13,0,235,82.7111238720993,79.0
1,0,14,5,218,93.84257504297615,92.0
0,1,1,0,15,2.0208333333333335,1.0
0,1,2,0,64,12.51078954049251,10.0
0,1,3,0,68,12.708611636027971,11.0
0,1,4,0,93,19.11898469400536,17.0
0,1,5,0,115,25.750771639986418,24.0
0,1,6,0,130,33.43043066924437,33.0
0,1,7,0,143,39.18868387377408,38.0
0,1,8,0,167,42.1790442310867,41.0
0,1,9,0,176,46.93067158474876,46.0
0,1,10,0,201,52.686182849863435,51.0
0,1,11,0,209,58.857632941667184,57.0
0,1,12,0,230,64.90667490995841,63.0
0,1,13,0,231,70.62708434781032,68.0
0,1,14,0,234,77.58746553864933,75.0
1,1,1,nan,nan,nan,nan
1,1,2,0,40,13.867713004484305,13.0
1,1,3,0,52,14.236255924170615,14.0
1,1,4,0,70,20.751631477927063,19.0
1,1,5,0,86,27.586265098370166,26.0
1,1,6,0,102,35.04361307888169,35.0
1,1,7,0,119,41.08030850307911,40.0
1,1,8,0,130,44.682945448993394,44.0
1,1,9,0,151,49.83931183767647,49.0
1,1,10,0,165,56.85128207065651,56.0
1,1,11,0,171,64.17697776762353,63.0
1,1,12,0,194,70.99503441132642,69.0
1,1,13,0,189,77.10861678307359,76.0
1,1,14,4,195,84.34330233173183,83.0
0,2,1,0,10,2.3958333333333335,2.0
0,2,2,0,51,7.587458745874588,6.0
0,2,3,0,56,8.974615310929785,7.0
0,2,4,0,79,13.74452954733335,12.0
0,2,5,0,105,19.53792661903804,17.0
0,2,6,0,99,26.202410431491916,25.0
0,2,7,0,128,31.019307416455497,30.0
0,2,8,0,141,33.47259440267777,32.0
0,2,9,0,146,37.21431616153131,36.0
0,2,10,0,169,41.77249323263741,40.0
0,2,11,0,171,46.39979718741403,45.0
0,2,12,0,193,50.84790208549809,49.0
0,2,13,0,186,54.69718555067672,53.0
0,2,14,0,180,58.80005752327237,57.0
1,2,1,nan,nan,nan,nan
1,2,2,0,35,5.174887892376682,2.0
1,2,3,0,39,4.903080568720379,3.0
1,2,4,0,69,7.850364683301343,5.0
1,2,5,0,80,13.04151062819769,10.0
1,2,6,0,87,18.17102377290947,16.0
1,2,7,0,99,22.461955234486027,21.0
1,2,8,0,116,25.14128514406613,23.0
1,2,9,0,119,28.952461375611033,27.0
1,2,10,0,139,34.29469679510671,32.0
1,2,11,0,145,40.268896432049004,38.0
1,2,12,0,159,45.90103094353801,44.0
1,2,13,0,165,51.05248772496806,49.0
1,2,14,0,161,57.33342883589721,56.0
0,3,1,0,8,1.8541666666666667,1.0
0,3,2,0,41,5.0663874079715665,4.0
0,3,3,0,57,6.320996577638832,5.0
0,3,4,0,73,10.041872291390066,8.0
0,3,5,0,95,14.891256621395678,13.0
0,3,6,0,103,20.56628069598124,19.0
0,3,7,0,110,24.658793352856975,23.0
0,3,8,0,123,26.703984600719107,25.0
0,3,9,0,156,29.922824381324563,28.0
0,3,10,0,149,33.94383169518275,32.0
0,3,11,0,165,38.05757778041551,36.0
0,3,12,0,179,42.208699084190506,41.0
0,3,13,0,181,45.847622030905626,44.0
0,3,14,0,188,49.66265406766701,48.0
1,3,1,nan,nan,nan,nan
