mode,epoch,n_valid,min,max,mean,median
0,0,1,0,31,4.574468085106383,0.0
0,0,2,0,64,5.228298279158699,0.0
0,0,3,0,93,7.746008544108307,0.0
0,0,4,0,120,9.217508096302062,0.0
0,0,5,0,141,11.909394801500065,0.0
0,0,6,0,164,13.534380516299926,1.0
0,0,7,0,183,15.10922825333016,2.0
0,0,8,0,200,17.288417168712808,2.0
0,0,9,0,221,19.04714034109933,3.0
0,0,10,0,237,21.224465411189964,4.0
0,0,11,0,253,24.051858130291627,6.0
0,0,12,0,263,27.153290031614333,8.0
0,0,13,0,269,30.877961510344015,12.0
0,0,14,0,277,36.47002893757751,18.0
1,0,1,0,0,0.0,0.0
1,0,2,0,6,0.03488372093023256,0.0
1,0,3,0,17,0.11866212185769066,0.0
1,0,4,0,25,0.300354445985514,0.0
1,0,5,0,32,0.7913990648923599,0.0
1,0,6,0,45,1.1800912607876202,0.0
1,0,7,0,49,1.7656901908566356,0.0
1,0,8,0,89,2.0591312532148445,0.0
1,0,9,0,92,2.518310008606765,0.0
1,0,10,0,96,3.5359830685890237,1.0
1,0,11,0,106,5.6428001639120335,3.0
1,0,12,0,103,9.328087467065838,6.0
1,0,13,0,117,14.543031226199544,11.0
1,0,14,0,124,22.519478245644752,19.0
0,1,1,0,1,0.02127659574468085,0.0
0,1,2,0,6,0.012109623964308477,0.0
0,1,3,0,23,0.0658383579998782,0.0
0,1,4,0,27,0.2179537067255793,0.0
0,1,5,0,51,0.694909263330316,0.0
0,1,6,0,52,1.30808271180017,0.0
0,1,7,0,88,2.072768627887785,0.0
0,1,8,0,98,2.2808582976207727,0.0
0,1,9,0,113,3.029199702165061,1.0
0,1,10,0,127,4.1391519271813015,1.0
0,1,11,0,144,6.20254016099483,3.0
0,1,12,0,141,10.045205437554046,6.0
0,1,13,0,156,15.354773341260104,11.0
0,1,14,0,159,23.559534355288207,20.0
1,1,1,0,0,0.0,0.0
1,1,2,0,1,0.002325581395348837,0.0
1,1,3,0,9,0.05198125266297401,0.0
1,1,4,0,20,0.19571582678378796,0.0
1,1,5,0,38,0.6972203668499204,0.0
1,1,6,0,64,1.1885229639916675,0.0
1,1,7,0,61,2.1585441633377718,0.0
1,1,8,0,75,2.2624188764733564,0.0
1,1,9,0,121,2.989306389049365,1.0
1,1,10,0,116,4.068012163721243,1.0
1,1,11,0,130,6.0076383007785825,3.0
1,1,12,0,134,10.341986821278123,7.0
1,1,13,0,141,16.563354311139616,12.0
1,1,14,0,140,25.778867197758906,22.0
0,2,1,0,0,0.0,0.0
0,2,2,0,10,0.007393244104525175,0.0
0,2,3,0,22,0.04543516657530909,0.0
0,2,4,0,46,0.19626314864559535,0.0
0,2,5,0,66,0.6555088581404371,0.0
0,2,6,0,55,1.2808866451215568,0.0
0,2,7,0,79,2.2347566995590165,0.0
0,2,8,0,116,2.3457661350613384,0.0
0,2,9,0,119,3.2204170467191604,1.0
0,2,10,0,139,4.359794170697801,2.0
0,2,11,0,140,6.443079561766342,3.0
0,2,12,0,151,11.085815952864893,7.0
0,2,13,0,161,17.713562761541436,14.0
0,2,14,0,158,27.541148166583707,23.0
1,2,1,0,0,0.0,0.0
1,2,2,0,2,0.009302325581395349,0.0
1,2,3,0,19,0.06455048998721773,0.0
1,2,4,0,20,0.24110032362459546,0.0
1,2,5,0,43,0.6786723526691671,0.0
1,2,6,0,39,1.3216198789802598,0.0
1,2,7,0,58,2.3455540760467524,0.0
1,2,8,0,94,2.438772941678614,0.0
1,2,9,0,105,3.31329214662155,1.0
1,2,10,0,106,4.500129888983122,2.0
1,2,11,0,143,6.999311569457724,4.0
1,2,12,0,128,12.366306266214227,8.0
1,2,13,0,155,19.727145993951623,15.0
1,2,14,0,146,30.034207301059265,26.0
0,3,1,0,0,0.0,0.0
0,3,2,0,6,0.004843849585723391,0.0
0,3,3,0,19,0.03456796568435523,0.0
0,3,4,0,28,0.18305801722190143,0.0
0,3,5,0,62,0.6152592784171732,0.0
0,3,6,0,53,1.2908960582335893,0.0
0,3,7,0,89,2.3223154931574124,0.0
0,3,8,0,107,2.350928066507024,0.0
0,3,9,0,111,3.2922096867935204,1.0
0,3,10,0,137,4.42990567110956,1.0
0,3,11,0,141,6.474048053269438,3.0
0,3,12,0,161,11.575111706756903,8.0
0,3,13,0,150,19.012393020099825,15.0
0,3,14,0,163,29.564856451054997,25.0
1,3,1,0,0,0.0,0.0
1,3,2,0,0,0.0,0.0
1,3,3,0,6,0.020025564550489986,0.0
1,3,4,0,21,0.18338727076591155,0.0
1,3,5,0,34,0.5897343677747521,0.0
1,3,6,0,58,1.3263813113778395,0.0
1,3,7,0,60,2.556842728214233,0.0
1,3,8,0,105,2.529893951167194,0.0
1,3,9,0,100,3.5819234351604043,1.0
1,3,10,0,119,5.009669088714175,2.0
1,3,11,0,125,7.804764376451304,4.0
1,3,12,0,128,13.706571155489701,10.0
1,3,13,0,170,21.640121502028745,17.0
1,3,14,0,144,31.943491201960956,28.0
0,4,1,0,0,0.0,0.0
0,4,2,0,2,0.0025493945188017845,0.0
0,4,3,0,16,0.029582452385302743,0.0
0,4,4,0,28,0.17533514924811086,0.0
0,4,5,0,52,0.5905728695202379,0.0
0,4,6,0,55,1.307394751314643,0.0
0,4,7,0,72,2.392655799871401,0.0
0,4,8,0,114,2.4242187517971296,0.0
0,4,9,0,125,3.3981669820767375,1.0
0,4,10,0,145,4.568856190655401,1.0
0,4,11,0,152,6.577060115747536,3.0
0,4,12,0,150,11.859449682605444,8.0
0,4,13,0,159,19.593825626439003,15.0
0,4,14,0,166,30.0863529372063,26.0
1,4,1,0,0,0.0,0.0
1,4,2,0,0,0.0,0.0
1,4,3,0,8,0.031955688112484025,0.0
1,4,4,0,18,0.17753120665742025,0.0
1,4,5,0,38,0.5541797256332528,0.0
1,4,6,0,45,1.1900357107429818,0.0
1,4,7,0,54,2.330744192927948,0.0
1,4,8,0,81,2.3714116861654975,0.0
1,4,9,0,94,3.3479196387516654,1.0
1,4,10,0,105,4.539738388306935,1.0
1,4,11,0,133,6.661775713700314,3.0
1,4,12,0,133,12.49691771642991,8.0
1,4,13,0,162,20.71809124232261,16.0
1,4,14,0,141,31.09798214129388,27.0
0,5,1,0,0,0.0,0.0
0,5,2,0,10,0.004333970681963034,0.0
