epoch,train_loss,train_acc,train_average_valid_weight_sum,train_average_weight_per_valid_class,train_average_weight_per_invalid_class,val_loss,val_acc,val_average_valid_weight_sum,val_average_weight_per_valid_class,val_average_weight_per_invalid_class,time_elapsed
0,1.99405279652071,0.37873532352941175,0.7980737959882512,0.08057546472393941,0.008542107319374404,1.2021935936950234,0.56612,0.9913978370621626,0.0982157976473079,0.00036079084694002044,01:17:00
1,1.1351746985955238,0.5939709117647058,0.9945194245877547,0.1011870853582831,0.00022948421577195232,1.0606401344125411,0.6128564705882353,0.9950447296546487,0.09860677704348284,0.00020930362502154072,01:15:16
2,1.0308563565411006,0.6275418823529412,0.9962349343813728,0.10137262623961533,0.0001582064061981766,0.994421018372143,0.6347358823529412,0.9956320153898351,0.09866878080718658,0.00018461905367727228,01:16:06
3,0.9772999669578496,0.6454640294117647,0.9968853403166041,0.10144238120992745,0.00013108192217996367,0.9485494825121936,0.6515947058823529,0.9981985943042531,0.09893666762015399,7.630444078107008e-05,01:15:41
4,0.9449375864522317,0.655986794117647,0.9972487236002193,0.10148186275553703,0.00011598300859541632,0.9512665333596397,0.6499370588235294,0.9975119425257515,0.09886929181155037,0.00010589535544133362,01:16:09
5,0.9222165603240798,0.6633611176470589,0.9974925823075912,0.1015081792556328,0.0001058286024622186,0.9261580368597367,0.6566170588235294,0.9979138765121909,0.09891054697387358,8.885548289704328e-05,01:16:01
6,0.9045612154626145,0.6690271176470588,0.9976678263812345,0.10152707849288688,9.852860831364439e-05,0.9185642369057151,0.6602023529411765,0.9985030820005081,0.09897019061060512,6.369544961558217e-05,01:15:50
7,0.8900100639516466,0.6737499411764706,0.9977955961530349,0.1015408827890929,9.322142800053252e-05,0.9027645518493652,0.6643364705882353,0.9979899145485374,0.09891465652606067,8.519680593426422e-05,01:16:16
8,0.8775260387623871,0.6777595588235295,0.9979017316635356,0.10155232490773061,8.879404264858065e-05,0.8944867502487407,0.6679682352941176,0.9979762826324912,0.09891567467843786,8.604172730219194e-05,01:16:10
9,0.8664582300624146,0.6812877352941177,0.9979905056393006,0.10156185065443375,8.509077063690989e-05,0.9109836263381733,0.6634723529411765,0.9986923846570184,0.09899218171722748,5.609343958522111e-05,01:15:58
10,0.8564936664130267,0.6845592352941177,0.9980620251353769,0.1015697318247767,8.213298212585805e-05,0.9038903137751186,0.6633211764705882,0.9979956068734561,0.09892067222188501,8.570506493372651e-05,01:16:05
11,0.8472692097275397,0.6875149705882353,0.998124567264669,0.10157627793989463,7.950270230875022e-05,0.8976599307901719,0.6655894117647059,0.9981668525000179,0.09893622096398297,7.814647231401656e-05,01:16:23
12,0.8386399585257278,0.6903781764705882,0.9981834540228002,0.10158253086686134,7.703964629093645e-05,0.8977086836887809,0.6663476470588235,0.9989342423573663,0.09901396225214004,4.5411282641717285e-05,01:18:56
13,0.8305899101759125,0.6929836470588235,0.9982362583283817,0.10158809677706045,7.482570463291246e-05,0.8917401059206794,0.6667947058823529,0.9982368335252649,0.09894491897989721,7.535401257477454e-05,01:17:59
14,0.8228967744408214,0.6955640882352941,0.9982831324392206,0.10159327932214737,7.288954560979661e-05,0.8869918406817492,0.6688905882352941,0.9981518672258713,0.09893684921180501,7.91179618581116e-05,01:16:52
