mode,epoch,n_valid,min,max,mean,median
0,0,1,0,29,4.829787234042553,0.0
0,0,2,0,64,4.51395793499044,0.0
0,0,3,0,93,6.807609650840055,0.0
0,0,4,0,119,8.190730675570506,0.0
0,0,5,0,140,10.697622742359584,0.0
0,0,6,0,163,12.217974306529651,1.0
0,0,7,0,185,13.690483031496662,2.0
0,0,8,0,202,15.650367477071502,2.0
0,0,9,0,222,17.258079784181188,3.0
0,0,10,0,236,19.342233607099853,4.0
0,0,11,0,253,22.082782800093025,6.0
0,0,12,0,264,25.222591040659314,8.0
0,0,13,0,272,29.169291359259198,12.0
0,0,14,0,272,35.26149980455183,19.0
1,0,1,0,0,0.0,0.0
1,0,2,0,3,0.023255813953488372,0.0
1,0,3,0,20,0.11972731146144014,0.0
1,0,4,0,19,0.29419016797657577,0.0
1,0,5,0,46,0.8757642706674202,0.0
1,0,6,0,44,1.3478077571669478,0.0
1,0,7,0,61,2.07915372096464,0.0
1,0,8,0,74,2.51876374859094,1.0
1,0,9,0,122,3.1370421024087154,1.0
1,0,10,0,118,4.505229941702768,2.0
1,0,11,0,132,7.239183171697856,4.0
1,0,12,0,116,11.514925939224144,8.0
1,0,13,0,135,17.402831781153825,13.0
1,0,14,0,126,26.2097741398932,23.0
0,1,1,0,0,0.0,0.0
0,1,2,0,6,0.011854684512428298,0.0
0,1,3,0,24,0.06641260560500466,0.0
0,1,4,0,28,0.218597017548264,0.0
0,1,5,0,48,0.7473425578688737,0.0
0,1,6,0,61,1.4431639591096062,0.0
0,1,7,0,87,2.2485602213525184,0.0
0,1,8,0,104,2.4695784192620094,0.0
0,1,9,0,121,3.207506975805709,1.0
0,1,10,0,126,4.3545913786084345,2.0
0,1,11,0,137,6.605392232658844,3.0
0,1,12,0,141,10.79573595775858,7.0
0,1,13,0,145,16.673069530107725,13.0
0,1,14,0,158,25.6584480009449,22.0
1,1,1,0,0,0.0,0.0
1,1,2,0,1,0.004651162790697674,0.0
1,1,3,0,8,0.057946314443971025,0.0
1,1,4,0,22,0.2420249653259362,0.0
1,1,5,0,40,0.7834866156296563,0.0
1,1,6,0,39,1.3650431504811031,0.0
1,1,7,0,57,2.399556147359077,0.0
1,1,8,0,67,2.496054633206746,0.0
1,1,9,0,114,3.337149392220899,1.0
1,1,10,0,101,4.5545380918544325,2.0
1,1,11,0,119,6.905499248736511,4.0
1,1,12,0,127,12.059827655087664,8.0
1,1,13,0,138,19.51172931058288,15.0
1,1,14,0,153,30.28882517727392,27.0
0,2,1,0,0,0.0,0.0
0,2,2,0,5,0.007010834926704908,0.0
0,2,3,0,22,0.04545256801788868,0.0
0,2,4,0,28,0.21050385358873297,0.0
0,2,5,0,54,0.731807405491616,0.0
0,2,6,0,64,1.535848096676986,0.0
0,2,7,0,91,2.5649140816047553,0.0
0,2,8,0,97,2.6617384483381294,0.0
0,2,9,0,120,3.6135985872810163,1.0
0,2,10,0,141,4.736411960536982,2.0
0,2,11,0,127,6.955332373046381,4.0
0,2,12,0,138,11.922363456389181,8.0
0,2,13,0,153,18.870917485252843,15.0
0,2,14,0,161,28.62670243789951,24.0
1,2,1,0,0,0.0,0.0
1,2,2,0,2,0.0069767441860465115,0.0
1,2,3,0,16,0.10715807413719643,0.0
1,2,4,0,27,0.2602866389274156,0.0
1,2,5,0,36,0.7431536762061347,0.0
1,2,6,0,44,1.5684703898422776,0.0
1,2,7,0,65,2.662967894658973,0.0
1,2,8,0,76,2.735501734648091,0.0
1,2,9,0,108,3.7250610137118736,1.0
1,2,10,0,105,4.803753027559386,2.0
1,2,11,0,135,7.098410053271411,4.0
1,2,12,0,146,12.478697096736674,9.0
1,2,13,0,142,19.753548634215647,15.0
1,2,14,0,162,29.52654731681695,25.0
0,3,1,0,0,0.0,0.0
0,3,2,0,6,0.004079031230082855,0.0
0,3,3,0,20,0.03252329618125343,0.0
0,3,4,0,25,0.1909032711570808,0.0
0,3,5,0,66,0.6564550196129143,0.0
0,3,6,0,57,1.516304045578412,0.0
0,3,7,0,84,2.5891713456835754,0.0
0,3,8,0,110,2.68295389456686,0.0
0,3,9,0,113,3.726583428146543,1.0
0,3,10,0,121,4.85370883396069,2.0
0,3,11,0,121,7.0540578133054055,4.0
0,3,12,0,149,12.311182075757618,9.0
0,3,13,0,160,19.48551858729812,15.0
0,3,14,0,163,28.771490158692664,24.0
1,3,1,0,0,0.0,0.0
1,3,2,0,1,0.002325581395348837,0.0
1,3,3,0,4,0.027268853855986364,0.0
1,3,4,0,23,0.21790722761596548,0.0
1,3,5,0,33,0.6822689205158506,0.0
1,3,6,0,42,1.645843666302946,0.0
1,3,7,0,59,2.9032845095428317,0.0
1,3,8,0,69,2.835060685322798,1.0
1,3,9,0,87,4.080184396995885,1.0
1,3,10,0,102,5.470110252825085,2.0
1,3,11,0,111,8.32617401994263,5.0
1,3,12,0,127,14.465589173826633,10.0
1,3,13,0,141,22.309598571193153,18.0
1,3,14,0,163,31.43683795850477,27.0
0,4,1,0,0,0.0,0.0
0,4,2,0,2,0.0030592734225621415,0.0
0,4,3,0,17,0.028503562945368172,0.0
0,4,4,0,26,0.1805067406421811,0.0
0,4,5,0,55,0.6257424889003836,0.0
0,4,6,0,57,1.506759108782207,0.0
0,4,7,0,68,2.62201032337112,0.0
0,4,8,0,96,2.7521394181555525,0.0
0,4,9,0,101,3.8336136450105256,1.0
