mode,epoch,n_valid,min,max,mean,median
0,0,1,0,31,4.574468085106383,0.0
0,0,2,0,64,5.228298279158699,0.0
0,0,3,0,93,7.746008544108307,0.0
0,0,4,0,120,9.217508096302062,0.0
0,0,5,0,141,11.909394801500065,0.0
0,0,6,0,164,13.534380516299926,1.0
0,0,7,0,183,15.10922825333016,2.0
0,0,8,0,200,17.288417168712808,2.0
0,0,9,0,221,19.04714034109933,3.0
0,0,10,0,237,21.224465411189964,4.0
0,0,11,0,253,24.051858130291627,6.0
0,0,12,0,263,27.153290031614333,8.0
0,0,13,0,269,30.877961510344015,12.0
0,0,14,0,277,36.47002893757751,18.0
1,0,1,0,0,0.0,0.0
1,0,2,0,6,0.023404255319148935,0.0
1,0,3,0,20,0.1337644656228727,0.0
1,0,4,0,24,0.28635107985936714,0.0
1,0,5,0,33,0.7881443744063552,0.0
1,0,6,0,48,1.1871639784946237,0.0
1,0,7,0,52,1.7618246929109602,0.0
1,0,8,0,89,2.044172791360432,0.0
1,0,9,0,73,2.507296438792733,0.0
1,0,10,0,82,3.4432629320688086,1.0
1,0,11,0,106,5.331796316143666,2.0
1,0,12,0,104,8.575159209272128,5.0
1,0,13,0,116,13.206186100685906,9.0
1,0,14,0,118,20.64318495991153,17.0
0,1,1,0,1,0.02127659574468085,0.0
0,1,2,0,6,0.012109623964308477,0.0
0,1,3,0,23,0.0658383579998782,0.0
0,1,4,0,27,0.2179537067255793,0.0
0,1,5,0,51,0.694909263330316,0.0
0,1,6,0,52,1.30808271180017,0.0
0,1,7,0,88,2.072768627887785,0.0
0,1,8,0,98,2.2808582976207727,0.0
0,1,9,0,113,3.029199702165061,1.0
0,1,10,0,127,4.1391519271813015,1.0
0,1,11,0,144,6.20254016099483,3.0
0,1,12,0,141,10.045205437554046,6.0
0,1,13,0,156,15.354773341260104,11.0
0,1,14,0,159,23.559534355288207,20.0
1,1,1,0,0,0.0,0.0
1,1,2,0,1,0.002127659574468085,0.0
1,1,3,0,10,0.05360789652825051,0.0
1,1,4,0,20,0.19349573078854848,0.0
1,1,5,0,37,0.7039547534755203,0.0
1,1,6,0,64,1.2140246975806452,0.0
1,1,7,0,59,2.1246069131935976,0.0
1,1,8,0,92,2.2689740512974352,0.0
1,1,9,0,89,2.995277233223957,1.0
1,1,10,0,113,4.042144056960915,1.0
1,1,11,0,130,5.896485354026293,3.0
1,1,12,0,121,9.95232424815925,6.0
1,1,13,0,140,15.771093568008283,12.0
1,1,14,0,129,24.455543267901575,20.0
0,2,1,0,0,0.0,0.0
0,2,2,0,10,0.007393244104525175,0.0
0,2,3,0,22,0.04543516657530909,0.0
0,2,4,0,46,0.19626314864559535,0.0
0,2,5,0,66,0.6555088581404371,0.0
0,2,6,0,55,1.2808866451215568,0.0
0,2,7,0,79,2.2347566995590165,0.0
0,2,8,0,116,2.3457661350613384,0.0
0,2,9,0,119,3.2204170467191604,1.0
0,2,10,0,139,4.359794170697801,2.0
0,2,11,0,140,6.443079561766342,3.0
0,2,12,0,151,11.085815952864893,7.0
0,2,13,0,161,17.713562761541436,14.0
0,2,14,0,158,27.541148166583707,23.0
1,2,1,0,0,0.0,0.0
1,2,2,0,2,0.00851063829787234,0.0
1,2,3,0,14,0.05496936691626957,0.0
1,2,4,0,20,0.22639377197388247,0.0
1,2,5,0,36,0.6865555651498143,0.0
1,2,6,0,62,1.350533434139785,0.0
1,2,7,0,52,2.3131345544160493,0.0
1,2,8,0,74,2.4218445327733615,0.0
1,2,9,0,93,3.310056715134869,1.0
1,2,10,0,93,4.436952247241313,2.0
1,2,11,0,143,6.776448465613741,4.0
1,2,12,0,130,11.800964234897567,8.0
1,2,13,0,130,18.73353177170959,14.0
1,2,14,0,146,28.473320431296656,24.0
0,3,1,0,0,0.0,0.0
0,3,2,0,6,0.004843849585723391,0.0
0,3,3,0,19,0.03456796568435523,0.0
0,3,4,0,28,0.18305801722190143,0.0
0,3,5,0,62,0.6152592784171732,0.0
0,3,6,0,53,1.2908960582335893,0.0
0,3,7,0,89,2.3223154931574124,0.0
0,3,8,0,107,2.350928066507024,0.0
0,3,9,0,111,3.2922096867935204,1.0
0,3,10,0,137,4.42990567110956,1.0
0,3,11,0,141,6.474048053269438,3.0
0,3,12,0,161,11.575111706756903,8.0
0,3,13,0,150,19.012393020099825,15.0
0,3,14,0,163,29.564856451054997,25.0
1,3,1,0,0,0.0,0.0
1,3,2,0,0,0.0,0.0
1,3,3,0,6,0.018379850238257316,0.0
1,3,4,0,21,0.17861627322953288,0.0
1,3,5,0,34,0.6139797944909766,0.0
1,3,6,0,52,1.3589969758064515,0.0
1,3,7,0,60,2.492792873737309,0.0
1,3,8,0,89,2.5200802459877005,0.0
1,3,9,0,94,3.602061034291166,1.0
1,3,10,0,111,4.998800181942559,2.0
1,3,11,0,125,7.678696941751203,4.0
1,3,12,0,133,13.273856525162662,9.0
1,3,13,0,142,20.805539019024202,16.0
1,3,14,0,139,30.566408625933093,26.0
0,4,1,0,0,0.0,0.0
0,4,2,0,2,0.0025493945188017845,0.0
0,4,3,0,16,0.029582452385302743,0.0
0,4,4,0,28,0.17533514924811086,0.0
0,4,5,0,52,0.5905728695202379,0.0
0,4,6,0,55,1.307394751314643,0.0
0,4,7,0,72,2.392655799871401,0.0
0,4,8,0,114,2.4242187517971296,0.0
0,4,9,0,125,3.3981669820767375,1.0
0,4,10,0,145,4.568856190655401,1.0
0,4,11,0,152,6.577060115747536,3.0
0,4,12,0,150,11.859449682605444,8.0
0,4,13,0,159,19.593825626439003,15.0
0,4,14,0,166,30.0863529372063,26.0
1,4,1,0,0,0.0,0.0
1,4,2,0,0,0.0,0.0
1,4,3,0,8,0.028420694349897888,0.0
1,4,4,0,15,0.15959316926167755,0.0
1,4,5,0,36,0.5539677057248942,0.0
1,4,6,0,55,1.1949134744623655,0.0
1,4,7,0,54,2.265271021319745,0.0
1,4,8,0,78,2.353410454477276,0.0
1,4,9,0,107,3.3301586136766295,1.0
1,4,10,0,109,4.493297135837312,1.0
1,4,11,0,116,6.563775135769852,3.0
1,4,12,0,136,12.162944646286038,8.0
1,4,13,0,153,19.97077779215737,16.0
1,4,14,0,138,29.839176112800665,25.0
0,5,1,0,0,0.0,0.0
0,5,2,0,10,0.004333970681963034,0.0
