mode,epoch,n_valid,min,max,mean,median
0,0,1,0,31,4.574468085106383,0.0
0,0,2,0,64,5.228298279158699,0.0
0,0,3,0,93,7.746008544108307,0.0
0,0,4,0,120,9.217508096302062,0.0
0,0,5,0,141,11.909394801500065,0.0
0,0,6,0,164,13.534380516299926,1.0
0,0,7,0,183,15.10922825333016,2.0
0,0,8,0,200,17.288417168712808,2.0
0,0,9,0,221,19.04714034109933,3.0
0,0,10,0,237,21.224465411189964,4.0
0,0,11,0,253,24.051858130291627,6.0
0,0,12,0,263,27.153290031614333,8.0
0,0,13,0,269,30.877961510344015,12.0
0,0,14,0,277,36.47002893757751,18.0
1,0,1,nan,nan,nan,nan
1,0,2,0,0,0.0,0.0
1,0,3,0,7,0.1968503937007874,0.0
1,0,4,0,5,0.196875,0.0
1,0,5,0,24,0.9322033898305084,0.0
1,0,6,0,40,1.2626050420168067,0.0
1,0,7,0,38,1.6803776129467296,0.0
1,0,8,0,35,2.061620572537603,0.0
1,0,9,0,73,2.5936012691697514,0.0
1,0,10,0,70,3.428256880733945,1.0
1,0,11,0,57,5.453488372093023,2.0
1,0,12,0,114,8.831517297739035,5.0
1,0,13,0,88,13.222967741935484,9.0
1,0,14,0,105,21.013698630136986,17.0
0,1,1,0,1,0.02127659574468085,0.0
0,1,2,0,6,0.012109623964308477,0.0
0,1,3,0,23,0.0658383579998782,0.0
0,1,4,0,27,0.2179537067255793,0.0
0,1,5,0,51,0.694909263330316,0.0
0,1,6,0,52,1.30808271180017,0.0
0,1,7,0,88,2.072768627887785,0.0
0,1,8,0,98,2.2808582976207727,0.0
0,1,9,0,113,3.029199702165061,1.0
0,1,10,0,127,4.1391519271813015,1.0
0,1,11,0,144,6.20254016099483,3.0
0,1,12,0,141,10.045205437554046,6.0
0,1,13,0,156,15.354773341260104,11.0
0,1,14,0,159,23.559534355288207,20.0
1,1,1,nan,nan,nan,nan
1,1,2,0,0,0.0,0.0
1,1,3,0,2,0.047244094488188976,0.0
1,1,4,0,6,0.234375,0.0
1,1,5,0,22,0.8580508474576272,0.0
1,1,6,0,30,1.2174369747899159,0.0
1,1,7,0,58,2.0654079568442345,0.0
1,1,8,0,35,2.2212518195050945,0.0
1,1,9,0,52,3.0608143839238497,1.0
1,1,10,0,83,4.045504587155963,1.0
1,1,11,0,78,6.096809085992429,3.0
1,1,12,0,115,10.200626532280033,7.0
1,1,13,0,99,15.76,11.0
1,1,14,0,105,25.10958904109589,21.0
0,2,1,0,0,0.0,0.0
0,2,2,0,10,0.007393244104525175,0.0
0,2,3,0,22,0.04543516657530909,0.0
0,2,4,0,46,0.19626314864559535,0.0
0,2,5,0,66,0.6555088581404371,0.0
0,2,6,0,55,1.2808866451215568,0.0
0,2,7,0,79,2.2347566995590165,0.0
0,2,8,0,116,2.3457661350613384,0.0
0,2,9,0,119,3.2204170467191604,1.0
0,2,10,0,139,4.359794170697801,2.0
0,2,11,0,140,6.443079561766342,3.0
0,2,12,0,151,11.085815952864893,7.0
0,2,13,0,161,17.713562761541436,14.0
0,2,14,0,158,27.541148166583707,23.0
1,2,1,nan,nan,nan,nan
1,2,2,0,0,0.0,0.0
1,2,3,0,4,0.14173228346456693,0.0
1,2,4,0,9,0.259375,0.0
1,2,5,0,21,0.7309322033898306,0.0
1,2,6,0,42,1.278361344537815,0.0
1,2,7,0,42,2.208361429534727,0.0
1,2,8,0,36,2.3498301795245027,0.0
1,2,9,0,56,3.261237440507668,1.0
1,2,10,0,83,4.446422018348624,2.0
1,2,11,0,90,6.900081124932396,4.0
1,2,12,0,120,12.157995096703896,8.0
1,2,13,0,101,18.79741935483871,14.0
1,2,14,0,147,29.984931506849314,25.0
0,3,1,0,0,0.0,0.0
0,3,2,0,6,0.004843849585723391,0.0
0,3,3,0,19,0.03456796568435523,0.0
0,3,4,0,28,0.18305801722190143,0.0
0,3,5,0,62,0.6152592784171732,0.0
0,3,6,0,53,1.2908960582335893,0.0
0,3,7,0,89,2.3223154931574124,0.0
0,3,8,0,107,2.350928066507024,0.0
0,3,9,0,111,3.2922096867935204,1.0
0,3,10,0,137,4.42990567110956,1.0
0,3,11,0,141,6.474048053269438,3.0
0,3,12,0,161,11.575111706756903,8.0
0,3,13,0,150,19.012393020099825,15.0
0,3,14,0,163,29.564856451054997,25.0
1,3,1,nan,nan,nan,nan
1,3,2,0,0,0.0,0.0
1,3,3,0,1,0.023622047244094488,0.0
1,3,4,0,6,0.21875,0.0
1,3,5,0,36,0.6716101694915254,0.0
1,3,6,0,28,1.3508403361344539,0.0
1,3,7,0,40,2.380310182063385,0.0
1,3,8,0,41,2.420669577874818,0.0
1,3,9,0,58,3.656002115282919,1.0
1,3,10,0,96,5.002201834862385,2.0
1,3,11,0,96,7.711465657111952,4.0
1,3,12,0,103,13.576137292290928,10.0
1,3,13,0,112,20.884387096774194,16.0
1,3,14,0,111,31.736986301369864,27.0
0,4,1,0,0,0.0,0.0
0,4,2,0,2,0.0025493945188017845,0.0
0,4,3,0,16,0.029582452385302743,0.0
0,4,4,0,28,0.17533514924811086,0.0
0,4,5,0,52,0.5905728695202379,0.0
0,4,6,0,55,1.307394751314643,0.0
0,4,7,0,72,2.392655799871401,0.0
0,4,8,0,114,2.4242187517971296,0.0
0,4,9,0,125,3.3981669820767375,1.0
0,4,10,0,145,4.568856190655401,1.0
0,4,11,0,152,6.577060115747536,3.0
0,4,12,0,150,11.859449682605444,8.0
0,4,13,0,159,19.593825626439003,15.0
0,4,14,0,166,30.0863529372063,26.0
1,4,1,nan,nan,nan,nan
1,4,2,0,0,0.0,0.0
1,4,3,0,2,0.047244094488188976,0.0
1,4,4,0,6,0.1625,0.0
1,4,5,0,29,0.6080508474576272,0.0
1,4,6,0,30,1.2657563025210083,0.0
1,4,7,0,42,2.140930546190155,0.0
1,4,8,0,42,2.370693837942746,0.0
1,4,9,0,55,3.3807509254362773,1.0
1,4,10,0,96,4.49394495412844,1.0
1,4,11,0,87,6.584505137912385,3.0
1,4,12,0,131,12.562244619994551,8.0
1,4,13,0,102,19.99458064516129,15.0
1,4,14,0,117,30.30821917808219,27.0
0,5,1,0,0,0.0,0.0
0,5,2,0,10,0.004333970681963034,0.0
0,5,3,0,12,0.03196645001870655,0.0
0,5,4,0,26,0.173941832149223,0.0
