mode,epoch,n_valid,min,max,mean,median
0,0,1,0,29,2.2857142857142856,0.0
0,0,2,0,63,8.659677831756584,0.0
0,0,3,0,93,13.209938150126511,1.0
0,0,4,0,119,15.563135124257974,1.0
0,0,5,0,144,19.87562163214958,4.0
0,0,6,0,168,22.129556339855284,4.0
0,0,7,0,184,24.497133010111643,5.0
0,0,8,0,208,28.07580399994111,7.0
0,0,9,0,221,30.731211595375754,7.0
0,0,10,0,240,33.775706287861766,9.0
0,0,11,0,253,37.22530154103405,10.0
0,0,12,0,264,40.37825971006013,12.0
0,0,13,0,269,43.92380819390804,15.0
0,0,14,0,271,49.28489430289678,20.0
1,0,1,0,0,0.0,0.0
1,0,2,0,0,0.0,0.0
1,0,3,0,10,0.3515625,0.0
1,0,4,0,16,0.6666666666666666,0.0
1,0,5,0,20,1.6844444444444444,0.0
1,0,6,0,25,2.1457663451232585,0.0
1,0,7,0,27,2.64332892998679,1.0
1,0,8,0,46,3.408469945355191,1.0
1,0,9,0,49,3.5342941019482255,2.0
1,0,10,0,77,4.764303706369198,2.0
1,0,11,0,62,6.323193392980041,4.0
1,0,12,0,70,9.011365192386691,6.0
1,0,13,0,69,12.19614890885751,10.0
1,0,14,0,70,16.78205128205128,16.0
0,1,1,0,0,0.0,0.0
0,1,2,0,19,0.040398874968038866,0.0
0,1,3,0,28,0.17237138037672195,0.0
0,1,4,0,34,0.3447781466948385,0.0
0,1,5,0,52,0.9587136704970893,0.0
0,1,6,0,59,1.4574295468678573,0.0
0,1,7,0,65,2.061846513558104,0.0
0,1,8,0,80,2.3510014574684215,0.0
0,1,9,0,97,2.8167964869414552,1.0
0,1,10,0,109,3.7814550510261764,1.0
0,1,11,0,113,5.52138845630852,3.0
0,1,12,0,122,8.303671564997314,5.0
0,1,13,0,134,12.034714628513893,9.0
0,1,14,0,121,17.818060071629674,15.0
1,1,1,0,0,0.0,0.0
1,1,2,0,0,0.0,0.0
1,1,3,0,2,0.0546875,0.0
1,1,4,0,7,0.21333333333333335,0.0
1,1,5,0,11,0.7022222222222222,0.0
1,1,6,0,32,1.3236870310825295,0.0
1,1,7,0,25,2.0554821664464993,0.0
1,1,8,0,43,2.52367941712204,0.0
1,1,9,0,42,2.871096877502002,1.0
1,1,10,0,67,4.330874415257287,2.0
1,1,11,0,85,6.627116311080523,3.0
1,1,12,0,91,10.799534437902231,7.0
1,1,13,0,85,16.355070603337612,13.0
1,1,14,0,85,24.52991452991453,23.0
0,2,1,0,0,0.0,0.0
0,2,2,0,9,0.014318588596266939,0.0
0,2,3,0,22,0.08144152375597413,0.0
0,2,4,0,36,0.22829887312606903,0.0
0,2,5,0,43,0.7398688567162242,0.0
0,2,6,0,56,1.331594054879932,0.0
0,2,7,0,62,2.0979268095185075,0.0
0,2,8,0,106,2.3866910314165417,0.0
0,2,9,0,113,3.04695162281828,1.0
0,2,10,0,118,4.145830679819508,1.0
0,2,11,0,142,6.158460707986891,3.0
0,2,12,0,154,9.73040948145808,6.0
0,2,13,0,159,14.647166286157352,11.0
0,2,14,0,138,22.138716089836247,19.0
1,2,1,0,0,0.0,0.0
1,2,2,0,0,0.0,0.0
1,2,3,0,5,0.171875,0.0
1,2,4,0,8,0.31333333333333335,0.0
1,2,5,0,17,1.0,0.0
1,2,6,0,33,1.7031082529474812,0.0
1,2,7,0,43,2.8150594451783357,1.0
1,2,8,0,56,3.3948087431693987,1.0
1,2,9,0,52,3.8807045636509208,1.0
1,2,10,0,65,5.286793810723282,2.0
1,2,11,0,78,7.7435650378527185,5.0
1,2,12,0,97,12.346980692865946,8.0
1,2,13,0,104,18.856739409499358,15.0
1,2,14,0,94,27.376068376068375,25.0
0,3,1,0,0,0.0,0.0
0,3,2,0,2,0.005369470723600102,0.0
